time,sound
12-11,58.69862870407143
12-12,61.82261852139581
12-13,62.9524870315201
12-14,61.47299189695959
12-15,60.35464272478226
12-16,58.488614914095606
12-17,53.41901368576401
12-18,49.42647511937683
12-19,54.80460009305595
12-20,59.08011418562234
12-21,58.63497431967781
12-22,57.17639445056685
12-23,52.406549852000694
12-24,51.73977379087173
12-25,52.301907364049285
12-26,54.94228467247309
12-27,57.02104306581643
12-28,55.118306768801745
12-29,55.13297866435743
12-30,55.39884222192039
12-31,57.00621168778504
12-32,59.59168473017341
12-33,60.95024210572057
12-34,66.26446763135986
12-35,66.62198527728258
12-36,62.55404645098065
12-37,64.35276586532214
12-38,68.46003139952413
12-39,68.82123411633012
12-40,66.69226813756903
12-41,68.2007607981939
12-42,65.86465626920106
12-43,68.80881561861675
12-44,68.23262402791048
12-45,70.16378540245329
12-46,68.29269566248942
12-47,66.95235144447508
12-48,69.25819917475266
12-49,68.43597589696944
12-50,68.18961382805604
12-51,68.97645319548303
12-52,69.85799738679358
12-53,69.13835286350829
12-54,69.29641120208899
12-55,70.03838646848864
12-56,67.92852825449938
12-57,68.24225665938515
12-58,67.50430161467872
12-59,67.2087231055743
13-00,67.80048780004324
13-01,67.02983586373632
13-02,68.70038529085957
13-03,69.85625735291552
13-04,70.0335911861789
13-05,68.70935437938438
13-06,69.30293702851226
13-07,68.61138434070321
13-08,69.91182519564468
13-09,68.69790873958529
13-10,72.0907422831162
13-11,70.48615176089446
13-12,70.90651577353808
13-13,69.06292534842039
13-14,69.16373348674988
13-15,70.11572242374524
13-16,70.14131617200047
13-17,70.120434824365
13-18,69.13472711943464
13-19,71.72594536804817
13-20,71.82901759824007
13-21,71.12422119994271
13-22,73.50268364134608
13-23,71.3574250809454
13-24,69.50198027031726
13-25,70.96636892963254
13-26,67.25554485468555
13-27,64.48412075108708
13-28,64.66980457712266
13-29,67.49110210000953
13-30,63.12902590353347
13-31,64.69075787284964
13-32,67.18356784541692
13-33,66.80995749372909
13-34,62.75823992515163
13-35,65.62147141344253
13-36,63.406691744142755
13-37,61.943976232523184
13-38,62.91352948187391
13-39,60.73526541073233
13-40,61.63781415597661
13-41,60.773779207456236
13-42,61.05305996035609
13-43,60.22804547368728
13-44,60.70291186386034
13-45,61.81107775645168
13-46,59.664656818892745
13-47,59.062148246748016
13-48,60.20815266373771
13-49,58.33547485628697
13-50,58.84597908597606
13-51,57.83821260567648
13-52,58.85806203352755
13-53,57.61790830447033
13-54,58.21647278378239
13-55,58.12841625680128
13-56,57.961646374853665
13-57,57.99404706523653
13-58,61.12841322351416
13-59,60.2045861686761
14-00,62.17955399382397
14-01,62.02252362739582
14-02,62.153033661714204
14-03,64.19674624610126
14-04,62.732732287141495
14-05,60.99594745029488
14-06,63.98330805698939
14-07,67.40750518978746
14-08,63.07144320164862
14-09,65.40281318037708
14-10,63.86961147586293
14-11,63.02334357099103
14-12,63.66150907896651
14-13,67.33485181952712
14-14,63.89877224590707
14-15,65.40647046067608
14-16,64.7912998481073
14-17,61.00498686885619
14-18,59.75504995166616
14-19,62.04669244497442
14-20,64.07238065070666
14-21,63.296085322502265
14-22,62.20388839334604
14-23,61.4960886001337
14-24,62.96021896541542
14-25,63.50682457884276
14-26,61.847863536969435
14-27,61.576319113883486
14-28,62.02673807661389
14-29,59.87202206693869
14-30,60.25708960344684
14-31,60.84736541232038
14-32,59.96174779923612
14-33,58.27955283311602
14-34,61.0668434192333
14-35,61.695031287547025
14-36,62.018767373712784
14-37,61.60221976232485
14-38,59.81858475674451
14-39,59.613737599148976
14-40,58.376864942630874
14-41,60.20263751126182
14-42,61.42251573200026
14-43,60.18801131777622
14-44,58.870980026146455
14-45,58.74437104223023
14-46,58.2102319027694
14-47,58.07224927130264
14-48,58.76683085543452
14-49,58.03636156755601
14-50,57.465363577295875
14-51,58.41064413059777
14-52,59.429294258453005
14-53,60.27923113726872
14-54,59.02351787287241
14-55,61.88202753679912
14-56,58.68328878197515
14-57,62.74192934310166
14-58,60.78926748371619
14-59,61.23412043011273
15-00,65.53526208922362
15-01,64.15919644688506
15-02,62.08420395889568
15-03,61.598700641253
15-04,63.29418980331716
15-05,61.479217610136104
15-06,60.36823094211175
15-07,60.39153371338382
15-08,59.24340133803843
15-09,65.93332417886087
15-10,66.16881273151523
15-11,66.04967260597401
15-12,62.60106716203256
15-13,62.26855704826736
15-14,65.40717834354047
15-15,58.003573671621794
15-16,59.6441126609209
15-17,57.51562393040871
15-18,57.72245499728288
15-19,57.93404418197726
15-20,64.58024697566398
15-21,57.573181540816314
15-22,60.44670283824129
15-23,54.992847077645884
15-24,56.102254775633774
15-25,54.90214691625008
15-26,56.65515239918085
15-27,56.35427988932464
15-28,56.69712472613011
15-29,56.87435755669666
15-30,57.336170980578764
15-31,57.891618682856866
15-32,58.48990810027506
15-33,60.21187093512497
15-34,56.43665655139269
15-35,62.91042169259239
15-36,58.661419829605585
15-37,55.65545040919588
15-38,55.42958246514956
15-39,59.277036455715276
15-40,58.33399213992621
15-41,56.790786134879866
15-42,57.18318042312615
15-43,56.01266970334634
15-44,56.86267508181147
15-45,60.30871270193614
15-46,59.04633613653953
15-47,58.34461185008197
15-48,64.4849679502975
15-49,63.55803949467936
15-50,61.62984699081007
15-51,59.973240025399605
15-52,60.46729189137497
15-53,60.870509215843924
15-54,53.13046280009405
15-55,51.117547810967814
15-56,56.61112408011807
15-57,54.93105622691272
15-58,56.150478450793656
15-59,58.631027113677334
16-00,56.454737728096006
16-01,59.813207645857645
16-02,61.90196658720014
16-13,62.954467238797754
